symbol,breakout_date,b_adx_-3,b_adx_-2,b_adx_-1,b_adx_+0,b_adx_+1,b_adx_+2,b_adx_+3,p_adx_-3,p_adx_-2,p_adx_-1,p_adx_+0,p_adx_+1,p_adx_+2
METIS-USD,2025-05-06,17.69052526608406,17.7934249956143,17.98644128186952,18.56114260672309,18.55099915596353,18.275033654648237,20.18724859652928,17.69052526608406,17.7934249956143,17.98644128186952,18.56114260672309,18.55099915596353,18.275033654648237
MINA-USD,2021-07-20,27.6460432329964,28.24043593688177,28.979339947778502,30.081454490414906,30.171552337548768,30.255214624173068,28.6700390150187,27.6460432329964,28.24043593688177,28.979339947778502,30.081454490414906,30.171552337548768,30.255214624173068
MINA-USD,2021-08-01,21.476403454940446,21.113685377719328,22.024805882616814,22.87084635145019,24.417121021147693,26.50792511967875,29.71297779026977,21.476403454940446,21.113685377719328,22.024805882616814,22.87084635145019,24.417121021147693,26.50792511967875
MINA-USD,2021-08-29,43.060796470616765,40.97619829923822,39.330498310567826,37.34306687659738,37.91200625343087,38.44030710334767,40.06383699304444,43.060796470616765,40.97619829923822,39.330498310567826,37.34306687659738,37.91200625343087,38.44030710334767
MINA-USD,2021-09-06,42.831756749335796,43.77620935059445,45.03627656013665,46.39725968254498,43.957647958584324,41.69229421490657,41.773939155056624,42.831756749335796,43.77620935059445,45.03627656013665,46.39725968254498,43.957647958584324,41.69229421490657
MINA-USD,2021-11-08,18.624473844376308,17.771834054682934,17.40758444242494,17.069352659613948,16.963743204539828,19.734818009097857,22.93841950145889,18.624473844376308,17.771834054682934,17.40758444242494,17.069352659613948,16.963743204539828,19.734818009097857
MINA-USD,2022-03-15,22.644761604949846,23.775815708998127,24.826404045651678,25.941519380584996,25.09761350173381,24.173553247383033,24.049458235605673,22.644761604949846,23.775815708998127,24.826404045651678,25.941519380584996,25.09761350173381,24.173553247383033
MINA-USD,2023-01-28,27.52015267917479,29.216212809279135,30.14525301310187,30.91866407737475,32.80578124178284,35.377459627220055,37.79749285937073,27.52015267917479,29.216212809279135,30.14525301310187,30.91866407737475,32.80578124178284,35.377459627220055
MINA-USD,2023-02-08,44.955797900742354,44.498401572298484,44.380914842294665,44.42212473455738,42.49402315893269,41.51338725272642,42.20859854609694,44.955797900742354,44.498401572298484,44.380914842294665,44.42212473455738,42.49402315893269,41.51338725272642
MINA-USD,2023-03-11,24.18965320534664,24.700115299012527,25.680652419978014,26.73374092331104,26.963533008030776,26.232629088901586,24.43608171068982,24.18965320534664,24.700115299012527,25.680652419978014,26.73374092331104,26.963533008030776,26.232629088901586
MINA-USD,2023-10-21,15.612567614207192,15.607694514583397,16.4743357830746,17.96480396198879,19.564045146168088,23.171582115700215,28.20883548401699,15.612567614207192,15.607694514583397,16.4743357830746,17.96480396198879,19.564045146168088,23.171582115700215
MINA-USD,2023-12-21,36.125948277544616,34.56969169980153,35.133483992123,35.77013911849315,36.361318878694,37.959040162385385,40.387173343877365,36.125948277544616,34.56969169980153,35.133483992123,35.77013911849315,36.361318878694,37.959040162385385
MINA-USD,2025-05-07,21.66013068860901,22.141617212045904,23.07936426371192,23.950129383116074,22.311950949334484,21.986101390067706,23.217503959499748,21.66013068860901,22.141617212045904,23.07936426371192,23.950129383116074,22.311950949334484,21.986101390067706
MPLX-USD,2022-11-01,62.91198831879025,62.67124497083911,62.38456545935602,62.134175896979215,61.84040373994522,61.38182735223229,57.01585771118316,62.91198831879025,62.67124497083911,62.38456545935602,62.134175896979215,61.84040373994522,61.38182735223229
MPLX-USD,2023-01-20,62.28396276547854,62.42070933408652,62.40496217498096,62.41880954997623,63.1586747473283,63.84569243058379,64.55755676337857,62.28396276547854,62.42070933408652,62.40496217498096,62.41880954997623,63.1586747473283,63.84569243058379
MPLX-USD,2023-01-24,63.1586747473283,63.84569243058379,64.55755676337857,65.1017325426631,64.77907627680399,64.69908434068053,65.34437078122197,63.1586747473283,63.84569243058379,64.55755676337857,65.1017325426631,64.77907627680399,64.69908434068053
MPLX-USD,2023-04-28,17.855569451136564,17.024810110955265,17.053044452569964,16.60456161851682,16.188113272610327,15.801411237125725,19.247795923963782,17.855569451136564,17.024810110955265,17.053044452569964,16.60456161851682,16.188113272610327,15.801411237125725
MPLX-USD,2023-08-02,30.21121944230439,29.904781394138094,30.539881430270743,31.1296171781082,31.77040463874752,32.57674531516988,31.308669040009427,30.21121944230439,29.904781394138094,30.539881430270743,31.1296171781082,31.77040463874752,32.57674531516988
MPLX-USD,2023-09-27,35.63690954686682,37.97038094190598,40.13717580872805,42.149199613634266,42.84947891516975,42.380053251843734,40.900816955803144,35.63690954686682,37.97038094190598,40.13717580872805,42.149199613634266,42.84947891516975,42.380053251843734
MPLX-USD,2023-11-12,18.611019134368462,19.804335784267085,21.93844692204325,24.101201806000557,26.109474198246627,28.61201303580976,31.69322655642989,18.611019134368462,19.804335784267085,21.93844692204325,24.101201806000557,26.109474198246627,28.61201303580976
