symbol,breakout_date,market_level,macd_d0,macd_d1,macd_d2,macd_d3,macd_signal_d0,macd_signal_d1,macd_signal_d2,macd_signal_d3
A-USD,2021-03-07,7.0,-0.002099095807909,-0.0020512662131118,-0.0019144616166328,-0.0016778934475264,-0.0011962068690297,-0.0009704846343099,-0.0007002892396094,-0.0003967461453535
A-USD,2021-03-07,7.0,-0.002099095807909,-0.0020512662131118,-0.0019144616166328,-0.0016778934475264,-0.0011962068690297,-0.0009704846343099,-0.0007002892396094,-0.0003967461453535
A-USD,2021-03-07,8.0,-0.002099095807909,-0.0020512662131118,-0.0019144616166328,-0.0016778934475264,-0.0011962068690297,-0.0009704846343099,-0.0007002892396094,-0.0003967461453535
A-USD,2021-03-12,7.0,0.0001888229225021,0.0016881715208035,6.66395696133186e-05,-0.0020085761225204,-0.0004515335986986,-0.0006116227289988,-0.0011865712914493,-0.001499874006715
A-USD,2021-03-12,7.0,0.0001888229225021,0.0016881715208035,6.66395696133186e-05,-0.0020085761225204,-0.0004515335986986,-0.0006116227289988,-0.0011865712914493,-0.001499874006715
A-USD,2021-03-12,7.0,0.0001888229225021,0.0016881715208035,6.66395696133186e-05,-0.0020085761225204,-0.0004515335986986,-0.0006116227289988,-0.0011865712914493,-0.001499874006715
A-USD,2021-03-12,8.0,0.0001888229225021,0.0016881715208035,6.66395696133186e-05,-0.0020085761225204,-0.0004515335986986,-0.0006116227289988,-0.0011865712914493,-0.001499874006715
A-USD,2021-04-01,9.0,0.0002269368108012,0.002396935714827,0.0023290298855418,0.0022777168778926,0.0019138041571531,0.0023355209937411,0.0023201673134697,0.0023179516704517
A-USD,2021-04-01,9.0,0.0002269368108012,0.002396935714827,0.0023290298855418,0.0022777168778926,0.0019138041571531,0.0023355209937411,0.0023201673134697,0.0023179516704517
A-USD,2021-04-01,8.0,0.0002269368108012,0.002396935714827,0.0023290298855418,0.0022777168778926,0.0019138041571531,0.0023355209937411,0.0023201673134697,0.0023179516704517
A-USD,2021-04-01,8.0,0.0002269368108012,0.002396935714827,0.0023290298855418,0.0022777168778926,0.0019138041571531,0.0023355209937411,0.0023201673134697,0.0023179516704517
A-USD,2021-04-16,,-0.0009910253850056,0.000201628694262,-2.1050979738430897e-05,-0.0001815614891824,-0.0002521901268044,-6.748131225414427e-05,-0.0001347588138831,-0.0001631857724193
A-USD,2021-04-20,8.0,-0.0033554628679552,-0.0024259874549059,-0.001421529922615,-0.0019376800131565,-0.001542921905757,-0.0010897866652074,-0.0007557364677828,-0.0005892881040748
A-USD,2021-04-20,7.0,-0.0033554628679552,-0.0024259874549059,-0.001421529922615,-0.0019376800131565,-0.001542921905757,-0.0010897866652074,-0.0007557364677828,-0.0005892881040748
A-USD,2021-04-20,7.0,-0.0033554628679552,-0.0024259874549059,-0.001421529922615,-0.0019376800131565,-0.001542921905757,-0.0010897866652074,-0.0007557364677828,-0.0005892881040748
A-USD,2021-04-20,6.0,-0.0033554628679552,-0.0024259874549059,-0.001421529922615,-0.0019376800131565,-0.001542921905757,-0.0010897866652074,-0.0007557364677828,-0.0005892881040748
A-USD,2021-05-03,9.0,-0.0004615510644049,0.0008274875959756,0.0006387990055341,0.0003396975654242,-0.000403833865767,-0.0003894045661075,-0.0006936276066284,-0.001026734259669
A-USD,2021-05-03,9.0,-0.0004615510644049,0.0008274875959756,0.0006387990055341,0.0003396975654242,-0.000403833865767,-0.0003894045661075,-0.0006936276066284,-0.001026734259669
A-USD,2021-05-03,9.0,-0.0004615510644049,0.0008274875959756,0.0006387990055341,0.0003396975654242,-0.000403833865767,-0.0003894045661075,-0.0006936276066284,-0.001026734259669
A-USD,2021-05-03,9.0,-0.0004615510644049,0.0008274875959756,0.0006387990055341,0.0003396975654242,-0.000403833865767,-0.0003894045661075,-0.0006936276066284,-0.001026734259669
A-USD,2021-05-08,,0.0005520977843222,0.0021297184390952,0.0010860166509774,-0.0013669556901837,0.0002277233183522,0.0001466297018597,-0.0003491424824491,-0.0007079322658058
A-USD,2021-05-14,2.0,-0.0030121239249579,-0.0025623036275595,-0.002365808583397,-0.0021868959257096,-0.0016410154763332,-0.001298238364177,-0.0009822220483314,-0.000636325414565
A-USD,2021-05-14,1.0,-0.0030121239249579,-0.0025623036275595,-0.002365808583397,-0.0021868959257096,-0.0016410154763332,-0.001298238364177,-0.0009822220483314,-0.000636325414565
A-USD,2021-05-14,1.0,-0.0030121239249579,-0.0025623036275595,-0.002365808583397,-0.0021868959257096,-0.0016410154763332,-0.001298238364177,-0.0009822220483314,-0.000636325414565
A-USD,2021-05-14,2.0,-0.0030121239249579,-0.0025623036275595,-0.002365808583397,-0.0021868959257096,-0.0016410154763332,-0.001298238364177,-0.0009822220483314,-0.000636325414565
A-USD,2021-05-18,4.0,-0.003738071723253,-0.0035997320012654,-0.003626771386711,-0.0033746540701843,-0.002805522718245,-0.002572385466993,-0.0023155488334249,-0.0019877431951034
A-USD,2021-05-18,3.0,-0.003738071723253,-0.0035997320012654,-0.003626771386711,-0.0033746540701843,-0.002805522718245,-0.002572385466993,-0.0023155488334249,-0.0019877431951034
A-USD,2021-05-18,2.0,-0.003738071723253,-0.0035997320012654,-0.003626771386711,-0.0033746540701843,-0.002805522718245,-0.002572385466993,-0.0023155488334249,-0.0019877431951034
A-USD,2021-05-18,1.0,-0.003738071723253,-0.0035997320012654,-0.003626771386711,-0.0033746540701843,-0.002805522718245,-0.002572385466993,-0.0023155488334249,-0.0019877431951034
A-USD,2021-05-22,4.0,-0.0021811457510748,-0.0027095868077848,-0.003934693865912,-0.0038884168357252,-0.0029207198436687,-0.0031056133668172,-0.0032046200065752,-0.003022101541741
A-USD,2021-05-22,3.0,-0.0021811457510748,-0.0027095868077848,-0.003934693865912,-0.0038884168357252,-0.0029207198436687,-0.0031056133668172,-0.0032046200065752,-0.003022101541741
A-USD,2021-05-22,2.0,-0.0021811457510748,-0.0027095868077848,-0.003934693865912,-0.0038884168357252,-0.0029207198436687,-0.0031056133668172,-0.0032046200065752,-0.003022101541741
A-USD,2021-05-22,1.0,-0.0021811457510748,-0.0027095868077848,-0.003934693865912,-0.0038884168357252,-0.0029207198436687,-0.0031056133668172,-0.0032046200065752,-0.003022101541741
A-USD,2021-05-28,,0.0005748088317789,0.0007053186657081,0.0002273102720399,-0.0005391413216706,-0.0008484272832508,-0.0012042363120082,-0.0016816250564373,-0.0021588588885567
A-USD,2021-06-03,6.0,0.0002485213080666,2.0262165473136987e-05,-0.0002077379232596,-0.0004574436596884,-0.0001993113397148,-0.0003112695016602,-0.0003941524184436,-0.0004407560422395
A-USD,2021-06-03,6.0,0.0002485213080666,2.0262165473136987e-05,-0.0002077379232596,-0.0004574436596884,-0.0001993113397148,-0.0003112695016602,-0.0003941524184436,-0.0004407560422395
A-USD,2021-06-03,7.0,0.0002485213080666,2.0262165473136987e-05,-0.0002077379232596,-0.0004574436596884,-0.0001993113397148,-0.0003112695016602,-0.0003941524184436,-0.0004407560422395
A-USD,2021-06-03,8.0,0.0002485213080666,2.0262165473136987e-05,-0.0002077379232596,-0.0004574436596884,-0.0001993113397148,-0.0003112695016602,-0.0003941524184436,-0.0004407560422395
A-USD,2021-06-12,4.0,-0.0012242928417382,-0.0010145300729608,-0.0007235887992479,-0.0003840733634435,-0.0004353070962173,-0.0002380606598371,-4.3943306556193336e-05,0.0001259680666167
A-USD,2021-06-12,3.0,-0.0012242928417382,-0.0010145300729608,-0.0007235887992479,-0.0003840733634435,-0.0004353070962173,-0.0002380606598371,-4.3943306556193336e-05,0.0001259680666167
A-USD,2021-06-12,2.0,-0.0012242928417382,-0.0010145300729608,-0.0007235887992479,-0.0003840733634435,-0.0004353070962173,-0.0002380606598371,-4.3943306556193336e-05,0.0001259680666167
A-USD,2021-06-12,1.0,-0.0012242928417382,-0.0010145300729608,-0.0007235887992479,-0.0003840733634435,-0.0004353070962173,-0.0002380606598371,-4.3943306556193336e-05,0.0001259680666167
A-USD,2021-06-18,1.0,-0.0007424378679205,-0.0004534138789604,-0.0006826171745773,-0.0009694095503007,-0.0007255685971114,-0.0007213512794091,-0.0007883356295213,-0.0008147652432573
A-USD,2021-06-18,1.0,-0.0007424378679205,-0.0004534138789604,-0.0006826171745773,-0.0009694095503007,-0.0007255685971114,-0.0007213512794091,-0.0007883356295213,-0.0008147652432573
A-USD,2021-06-18,1.0,-0.0007424378679205,-0.0004534138789604,-0.0006826171745773,-0.0009694095503007,-0.0007255685971114,-0.0007213512794091,-0.0007883356295213,-0.0008147652432573
A-USD,2021-06-18,2.0,-0.0007424378679205,-0.0004534138789604,-0.0006826171745773,-0.0009694095503007,-0.0007255685971114,-0.0007213512794091,-0.0007883356295213,-0.0008147652432573
